         788351 function calls (782314 primitive calls) in 19.808 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       13    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/numpy/lib/mixins.py:44(_numeric_methods)
       19    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
       20    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/numpy/lib/mixins.py:16(_binary_method)
     2010    0.002    0.000    0.003    0.000 /usr/lib/python3.11/re/_parser.py:162(__getitem__)
     2656    0.003    0.000    0.003    0.000 /usr/lib/python3.11/re/_parser.py:231(__next)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.11/signal.py:1(<module>)
       28    0.002    0.000    0.003    0.000 /usr/lib/python3.11/inspect.py:867(cleandoc)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:977(exec_module)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3/dist-packages/numpy/lib/scimath.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3/dist-packages/numpy/polynomial/polynomial.py:1(<module>)
      586    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.003    0.003 <frozen ntpath>:1(<module>)
       48    0.001    0.000    0.003    0.000 /usr/lib/python3.11/re/_compiler.py:509(_compile_info)
     1084    0.002    0.000    0.003    0.000 /usr/lib/python3.11/threading.py:264(__enter__)
      196    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
        1    0.000    0.000    0.003    0.003 /home/pi/Lightshow/git/rgb_matrix_lib/text_effects.py:1(<module>)
      177    0.001    0.000    0.003    0.000 /usr/lib/python3.11/selectors.py:351(register)
     6213    0.003    0.000    0.003    0.000 /home/pi/Lightshow/git/pixil_utils/terminal_handler.py:35(check_spacebar)
      162    0.000    0.000    0.003    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.11/string.py:1(<module>)
       22    0.001    0.000    0.003    0.000 /usr/lib/python3.11/typing.py:638(Union)
     3379    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
  385/123    0.002    0.000    0.003    0.000 /usr/lib/python3.11/re/_parser.py:172(getwidth)
      152    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1565(<genexpr>)
       36    0.000    0.000    0.003    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:111(_float_to_str)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.11/string.py:69(__init_subclass__)
     1084    0.002    0.000    0.003    0.000 /usr/lib/python3.11/threading.py:279(_is_owned)
     3696    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
        1    0.001    0.001    0.003    0.003 /usr/lib/python3.11/locale.py:1(<module>)
     6357    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/json/scanner.py:1(<module>)
       10    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/ma/extras.py:234(__init__)
       10    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/ma/extras.py:238(getdoc)
      237    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
       38    0.000    0.000    0.002    0.000 /usr/lib/python3.11/typing.py:1333(__init__)
      171    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/multiprocessing/queues.py:37(__init__)
     1061    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
     1084    0.002    0.000    0.002    0.000 /usr/lib/python3.11/threading.py:267(__exit__)
      177    0.001    0.000    0.002    0.000 /usr/lib/python3.11/selectors.py:234(register)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/bz2.py:1(<module>)
       31    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      566    0.002    0.000    0.002    0.000 /usr/lib/python3.11/enum.py:831(__setattr__)
        1    0.000    0.000    0.002    0.002 /home/pi/Lightshow/git/rgb_matrix_lib/debug.py:1(<module>)
      232    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/_distutils_hack/__init__.py:89(find_spec)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/numpy/lib/twodim_base.py:1(<module>)
      171    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
      177    0.001    0.000    0.002    0.000 /usr/lib/python3.11/selectors.py:402(select)
      172    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
       18    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/core/arrayprint.py:1571(_array_str_implementation)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/logging/__init__.py:421(PercentStyle)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.11/multiprocessing/context.py:65(Lock)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/datetime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/numpy/core/_type_aliases.py:1(<module>)
     1979    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       18    0.000    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/core/arrayprint.py:506(wrapper)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.11/ipaddress.py:2314(_IPv6Constants)
       12    0.000    0.000    0.002    0.000 /usr/lib/python3.11/typing.py:678(Optional)
        1    0.000    0.000    0.002    0.002 /home/pi/Lightshow/git/pixil_utils/terminal_handler.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/numpy/fft/_pocketfft.py:1(<module>)
       34    0.000    0.000    0.002    0.000 /usr/lib/python3.11/ipaddress.py:2238(__init__)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/PIL/TiffTags.py:1(<module>)
